benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,8.6,30,0.9990,1000,,0.0010,,,2026-04-28T06:53:50+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,hashemi_clipping,m=8000,8000,,,,TIMEOUT,43.6,30,,,,,,timeout 30s,2026-04-28T06:54:34+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:54:34+00:00
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,hashemi_clipping,m=8000,8000,,,,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:54:34+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,ours,small,,1000,1000,500,TIMEOUT,30.0,30,,,,,,timeout 30s,2026-04-28T06:55:04+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,ours,small,,1000,1000,500,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:55:04+00:00
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,ours,small,,1000,1000,500,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:55:04+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,ours,medium,,2000,2000,1000,TIMEOUT,30.0,30,,,,,,timeout 30s,2026-04-28T06:55:34+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,ours,medium,,2000,2000,1000,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:55:34+00:00
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,ours,medium,,2000,2000,1000,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:55:34+00:00
cora_2024,mnist-point.onnx+mnist-img0.vnnlib,ours,full,,5000,2000,2000,TIMEOUT,30.0,30,,,,,,timeout 30s,2026-04-28T06:56:04+00:00
cora_2024,mnist-trades.onnx+mnist-img0.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:56:04+00:00
cora_2024,mnist-set.onnx+mnist-img0.vnnlib,ours,full,,5000,2000,2000,SKIPPED,,30,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T06:56:04+00:00
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.4,300,0.9930,1000,,0.0010,,,2026-04-28T06:56:05+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.4,300,0.9910,1000,,0.0010,,,2026-04-28T06:56:06+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,hashemi_clipping,m=500,500,,,,UNSAT,1.4,300,1.0000,1000,,0.0010,,,2026-04-28T06:56:08+00:00
dist_shift_2023,mnist_concat.onnx+index7901_delta0.13.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,10.3,300,1.0000,1000,,0.0010,,,2026-04-28T06:56:18+00:00
dist_shift_2023,mnist_concat.onnx+index6323_delta0.13.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,10.2,300,0.9990,1000,,0.0010,,,2026-04-28T06:56:28+00:00
dist_shift_2023,mnist_concat.onnx+index7027_delta0.13.vnnlib,hashemi_clipping,m=2000,2000,,,,UNSAT,8.5,300,1.0000,1000,,0.0010,,,2026-04-28T06:56:37+00:00
